nom-course,prix-course,distance-course,condition-course,mode-course,depart-course
LAON 03/07/22 C10,5 000E,2 850m,Challenge UNAT NIDFE - Sellerie de Grosbois Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 71.000. - Recul de 25 m. a  37.000. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Attele,Volte
LA GACILLY 03/07/22 C2,12 000E,2 300m,Pour 4 ans n'ayant pas gagne 6.000. ,Attele,Volte
LA GACILLY 03/07/22 C3,12 000E,2 300m,Pour 4 ans n'ayant pas gagne 6.000. ,Attele,Volte
LA GACILLY 03/07/22 C5,18 000E,3 100m,Pour 6 a  9 ans inclus n'ayant pas gagne 102.000. - Recul de 25 m. a  53.000. ,Monte,Volte
LA GACILLY 03/07/22 C6,13 000E,3 100m,Pour 5 ans n'ayant pas gagne 37.500. - Recul de 25 m. a  16.900. ,Attele,Volte
LA GACILLY 03/07/22 C8,13 000E,3 100m,Pour 5 ans n'ayant pas gagne 37.500. - Recul de 25 m. a  16.900. ,Attele,Volte
LA GACILLY 03/07/22 C9,5 000E,3 100m,Eliminatoire de la Coupe Amateurs Pour 7 8 et 9 ans n'ayant pas gagne 89.000. - Recul de 25 m. a  43.000. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Attele,Volte
LE TOUQUET 03/07/22 C1,13 000E,2 100m,Pour poulains entiers et hongres de 3 ans n'ayant pas gagne 3.800. ,Attele,Volte
LE TOUQUET 03/07/22 C2,13 000E,2 100m,Pour poulains entiers et hongres de 3 ans n'ayant pas gagne 3.800. ,Attele,Volte
LE TOUQUET 03/07/22 C3,5 000E,2 100m,Challenge UNAT ILE-DE-FRANCE ET NORD - KAVALCADE ET COMPAGNIE Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 107.000. - Recul de 25 m. a  53.000. ,Monte,Volte
LE TOUQUET 03/07/22 C4,13 000E,2 100m,Pour pouliches de 3 ans n'ayant pas gagne 3.800. ,Attele,Volte
LE TOUQUET 03/07/22 C5,13 000E,2 100m,Pour pouliches de 3 ans n'ayant pas gagne 3.800. ,Attele,Volte
LE TOUQUET 03/07/22 C6,20 000E,2 600m,Pour 6 a  9 ans inclus n'ayant pas gagne 126.000. - Recul de 25 m. a  65.000. ,Attele,Volte
LE TOUQUET 03/07/22 C7,16 000E,2 600m,Pour 5 ans n'ayant pas gagne 41.000. - Recul de 25 m. a  20.500. ,Attele,Volte
LE TOUQUET 03/07/22 C8,13 000E,2 600m,Pour pouliches de 4 ans n'ayant pas gagne 8.000. ,Attele,Volte
LE TOUQUET 03/07/22 C9,16 000E,2 625m,Pour 6 ans n'ayant pas gagne 58.000. - Avance de 25 m. aux chevaux n'ayant pas gagne 5.000 cette annee. ,Attele,Volte
LES ANDELYS 03/07/22 C1,15 000E,2 525m,Course Nationale LeTROT Open des Regions - Haute-Normandie/Ile-de-France - 3 ans Course qualificative Pour poulains entiers et hongres de 3 ans n'ayant pas gagne 10.100. - Recul de 25 m. a  3.900. ,Attele,Volte
LES ANDELYS 03/07/22 C2,15 000E,2 525m,Course Nationale LeTROT Open des Regions - Haute-Normandie/Ile-de-France - 3 ans Course qualificative Pour pouliches de 3 ans n'ayant pas gagne 10.100. - Recul de 25 m. a  3.900. ,Attele,Volte
LES ANDELYS 03/07/22 C3,15 000E,2 525m,Pour 3 ans n'ayant pas gagne 8.000. ,Monte,Volte
LES ANDELYS 03/07/22 C4,13 000E,2 525m,Course Nationale LeTROT Open des Regions - Haute-Normandie/Ile-de-France - 5 ans Course qualificative Pour chevaux entiers et hongres de 5 ans n'ayant pas gagne 50.000. - Recul de 25 m. a  25.000. ,Attele,Volte
LES ANDELYS 03/07/22 C5,13 000E,2 525m,Course Nationale LeTROT Open des Regions - Haute-Normandie/Ile-de-France - 5 ans Course qualificative Pour chevaux entiers et hongres de 5 ans n'ayant pas gagne 50.000. - Recul de 25 m. a  25.000. ,Attele,Volte
LES ANDELYS 03/07/22 C6,20 000E,2 525m,Pour 6 a  9 ans inclus n'ayant pas gagne 140.000. - Recul de 25 m. a  70.000. ,Attele,Volte
LES ANDELYS 03/07/22 C7,13 000E,2 525m,Pour 4 ans n'ayant pas gagne 10.900. ,Attele,Volte
LES ANDELYS 03/07/22 C8,13 000E,2 525m,Pour 4 ans n'ayant pas gagne 10.900. ,Attele,Volte
LES ANDELYS 03/07/22 C9,5 000E,2 550m,Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 63.000. - Avance de 25 m. aux chevaux drives par des personnes n'ayant pas gagne quatre courses. ,Attele,Volte
LUCON 03/07/22 C1,12 000E,3 025m,Pour 3 ans ayant couru mais n'ayant pas gagne 1.200. ,Attele,Volte
LUCON 03/07/22 C2,12 000E,3 025m,Pour 4 ans n'ayant pas gagne 12.000. - Recul de 25 m. a  4.200. ,Attele,Volte
LUCON 03/07/22 C3,12 000E,3 025m,Pour 4 ans n'ayant pas gagne 12.000. - Recul de 25 m. a  4.200. ,Attele,Volte
LUCON 03/07/22 C4,15 000E,3 025m,Pour 5 ans n'ayant pas gagne 41.000. - Recul de 25 m. a  18.500. ,Attele,Volte
LUCON 03/07/22 C5,16 000E,3 025m,Pour 5 et 6 ans n'ayant pas gagne 80.000. - Recul de 25 m. a  38.000. ,Attele,Volte
LUCON 03/07/22 C6,15 000E,3 025m,Pour 6 et 7 ans n'ayant pas gagne 91.000. - Recul de 25 m. a  45.000. ,Attele,Volte
