Nom,Prix,Distance,Mode course,Conditions,Depart
C5,13 000E,3 200m,Attele,Pour 4 ans n'ayant pas gagne 13.200. - Recul de 25 m. a  6.400. ,Volt
C6,13 000E,3 200m,Attele,Pour 4 ans n'ayant pas gagne 13.200. - Recul de 25 m. a  6.400. ,Volt
C7,24 000E,3 200m,Attele,Pour 6 7 et 8 ans n'ayant pas gagne 193.000. - Recul de 25 m. a  92.000. ,Volt
C8,15 000E,3 200m,Attele,Pour juments de 5 ans n'ayant pas gagne 40.000. - Recul de 25 m. a  20.000. ,Volt
C9,5 000E,3 200m,Attele,Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 84.000. - Recul de 25 m. a  43.000. ,Volt
C1,13 000E,2 600m,Attele,Apprentis-lads-jockeys Pour 5 ans n'ayant pas gagne 53.000. - Recul de 25 m. a  27.000. ,Volt
C2,13 000E,2 600m,Attele,Apprentis-lads-jockeys Pour 5 ans n'ayant pas gagne 53.000. - Recul de 25 m. a  27.000. ,Volt
C3,18 000E,2 625m,Attele,Pour 7 ans n'ayant pas gagne 94.000. - Avance de 25 m. aux chevaux n'ayant pas gagne 3.000 cette annee. ,Volt
C4,5 000E,2 600m,Attele,Eliminatoire de la Coupe Amateurs Pour 7 8 et 9 ans n'ayant pas gagne 92.000. - Recul de 25 m. a  46.000. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Volt
C2,14 000E,2 200m,Attele,Pour 3 ans n'ayant pas gagne 4.800. En cas d'elimination les poulains et pouliches restes inscrits au moins trois fois au programme d'une reunion cette annee seront elimines en priorite. ,Volt
C4,23 000E,2 800m,Attele,Pour 7 a  10 ans inclus n'ayant pas gagne 215.000. - Recul de 25 m. a  107.000. ,Volt
C6,5 000E,2 800m,Attele,Amateurs Pour 7 8 et 9 ans n'ayant pas gagne 82.000. - Recul de 25 m. a  41.000. ,Volt
C1,12 000E,2 225m,Monte,Pour 3 ans n'ayant pas gagne 2.600. ,Volt
C2,12 000E,2 225m,Attele,Course G Pour 3 ans n'ayant pas gagne 5.400. ,Volt
C3,12 000E,2 225m,Attele,Course G Pour 3 ans n'ayant pas gagne 5.400. ,Volt
C4,18 000E,2 800m,Monte,Course Europeenne Pour 6 7 et 8 ans n'ayant pas gagne 124.000. - Recul de 25 m. a  60.000. Sont seuls admis a  participer a  cette epreuve les chevaux n'ayant pas dans les 12 mois precedant la course ete classes au trot attele ou au trot monte 1er 2eme ou 3eme d'une epreuve de Groupe I ou 1er d'une epreuve de Groupe II. ,Volt
C5,13 000E,2 800m,Attele,Pour 5 ans n'ayant pas gagne 45.000. - Recul de 25 m. a  21.000. ,Volt
C6,13 000E,2 800m,Attele,Pour 5 ans n'ayant pas gagne 45.000. - Recul de 25 m. a  21.000. ,Volt
